male,date,temp_target,round,total_songs,motif_count,average_motif,average_duration,average_song_rate,average_motif_rate,chamber,temp_mean,temp_median,humidity_mean
T244,2022-02-09,27,1,9,54,4.1,NA,NA,NA,6,26.5,26.5,19.46774
T244,2022-02-11,44,1,16,74,4.294117647058823,NA,NA,NA,6,44.47312,44.5,10.56452
T244,2022-04-23,40,3,12,55,4.416666666666667,3,4,1.4722222222222223,4,NA,NA,NA
T244,2022-04-25,40,3,27,114,4.074074074074074,3.6666666666666665,7.363636363636364,1.1111111111111112,4,39.21995,40,22.61202
T244,2022-04-27,40,3,12,56,4.083333333333333,3.5,3.4285714285714284,1.1666666666666665,4,36.87158,38.5,18.93989
T244,2022-06-23,44,2,18,68,3.6666666666666665,3.833333333333333,4.695652173913044,0.9565217391304348,4,41.0702434,42,22.43307522
T244,2022-06-25,40,2,30,126,4.266666666666667,-492.16666666666663,-0.06095496105655266,-0.008669150016931934,4,38.0557395,38.5,26.29359823
T244,2022-06-27,35,2,18,98,4.052631578947368,NA,NA,NA,4,33.6307947,34,30.51766004
T244,2022-06-29,27,2,17,125,4.555555555555555,NA,NA,NA,4,29.7254464,30,35.53348214
T244,2022-07-01,42,2,16,81,4.764705882352941,NA,NA,NA,4,39.6743929,40.5,24.13852097
T246,2022-02-03,40,1,0,0,0,NA,NA,NA,4,39.97043,40,16.90591
T246,2022-02-05,27,1,0,0,0,NA,NA,NA,4,25.70699,26,16.69086
T246,2022-02-07,42,1,37,129,3,2.864864864864865,12.915094339622641,1.0471698113207546,4,40.73118,40.5,10.74462
T246,2022-02-09,44,1,23,76,3,3.304347826086956,6.960526315789474,0.9078947368421054,4,45.64785,45.5,9.204301
T246,2022-02-11,35,1,14,48,3.142857142857143,2.857142857142857,4.8999999999999995,1.0999999999999999,4,34.26882,34.5,13.70161
T247,2022-01-24,44,1,6,30,3.833333333333333,3.833333333333333,1.565217391304348,1,2,45.32258,45.5,9.865591
T247,2022-01-26,35,1,15,62,2.6666666666666665,2.6,5.769230769230769,1.0256410256410255,2,36,36,11.1371
T247,2022-01-28,42,1,28,118,2.75,2.4285714285714284,11.529411764705884,1.1323529411764708,2,43.42204,43.5,10.53226
T247,2022-01-30,27,1,48,162,2.6875,2.5625,18.73170731707317,1.048780487804878,2,27.1828,27,10.63978
T247,2022-02-01,40,1,54,174,2.4444444444444446,2.462962962962963,21.924812030075188,0.992481203007519,2,41.45699,41.5,9.422043
T247,2022-04-11,40,3,13,70,4.153846153846154,4,3.25,1.0384615384615385,2,39.467213,41.5,15.61475
T247,2022-04-13,40,3,20,79,3.1,2.75,7.2727272727272725,1.1272727272727272,2,38.75956,40.5,24.4153
T247,2022-04-15,40,3,18,80,3.888888888888889,3.388888888888889,5.311475409836065,1.1475409836065573,2,39.06011,41,20.83607
T247,2022-06-06,40,2,44,185,3.2954545454545454,NA,NA,NA,2,39.4045254,40.5,23.87969095
T247,2022-06-08,42,2,32,120,3.0625,-53.5,-0.5981308411214953,-0.05724299065420561,2,40.9321192,42.5,25.97406181
T247,2022-06-10,35,2,16,117,4.625,41.625,0.3843843843843844,0.1111111111111111,2,34.5518764,35.5,28.36203091
T247,2022-06-12,44,2,13,58,3.769230769230769,178.84615384615344,0.07268817204301092,0.021075268817204347,2,42.6594923,44,21.36699779
T247,2022-06-14,27,2,30,112,3.333333333333333,-256.9333333333333,-0.11676180591593152,-0.012973533990659057,2,31.9045254,32,41.81898455
T247,2022-06-16,27,2,25,120,3.96,337.20000000000005,0.07413997627520758,0.01174377224199288,2,30.9961369,31,36.87748344
T257,2022-07-11,27,2,47,176,2.106382978723404,347.27659574468083,0.13533880651880897,0.006065433157701262,1,31.2292359,31.5,30.86378738
T257,2022-07-13,35,2,41,169,2.097560975609756,-192.02439024390242,-0.21351454337609554,-0.010923409119776453,1,34.1230684,34,27.02041943
T257,2022-07-15,42,2,84,317,2.261904761904762,0.75,112,3.015873015873016,1,41.4839956,42,19.44039735
T257,2022-07-17,44,2,62,245,2.225806451612903,-11.709677419354746,-5.294765840220427,-0.19008264462810068,1,42.8068433,44,18.46357616
T257,2022-07-19,40,2,73,253,2.2054794520547945,-1.8356164383562743,-39.76865671641553,-1.201492537313361,1,38.8427152,39.5,25.66335541
T258,2022-07-12,35,2,24,74,2.375,2.291666666666667,10.472727272727271,1.0363636363636362,6,33.7229581,34,31.09988962
T258,2022-07-14,40,2,14,45,2.5,3.0714285714285716,4.558139534883721,0.813953488372093,6,39.1363135,39.5,25.17715232
T258,2022-07-16,27,2,7,20,2.2857142857142856,-1231.857142857143,-0.0056824770961382345,-0.0018555027252696275,6,29.6451435,29.5,36.96743929
T258,2022-07-18,42,2,11,32,2.272727272727273,-40.72727272727289,-0.27008928571428464,-0.05580357142857121,6,40.6830752,41.5,23.80088496
T258,2022-07-22,44,2,0,0,0,NA,NA,NA,6,44.833333,45,21.0378
T259,2022-07-12,35,2,1,7,3,3,0.3333333333333333,1,4,33.2836645,33.5,30.63300221
T259,2022-07-14,40,2,0,0,0,NA,NA,NA,4,38.0077263,38.5,25.25883002
T259,2022-07-16,42,2,0,0,0,NA,NA,NA,4,40.2378587,41,22.95584989
T259,2022-07-18,44,2,0,0,0,NA,NA,NA,4,41.6434879,42.5,22.05684327
T259,2022-07-20,27,2,5,18,2.2,2.6,1.923076923076923,0.8461538461538461,4,29.0198675,29,38.24172185
T260,2022-07-11,40,2,17,43,2.2941176470588234,-452.9411764705882,-0.037532467532467535,-0.005064935064935066,3,37.6434928,38.5,25.11067853
T260,2022-07-13,35,2,24,74,2.5,2.5,9.6,1,3,33.805187599999996,34,29.94426049
T260,2022-07-15,42,2,22,65,2.4545454545454546,-0.2272727272727085,-96.800000000008,-10.800000000000892,3,40.683223,42,22.82450331
T260,2022-07-17,27,2,29,76,2.5517241379310347,-249.75862068965523,-0.11611210824244095,-0.010216761010630952,3,31.3636865,31.5,33.07119205
T260,2022-07-19,44,2,61,198,2.3442622950819674,577.5573770491802,0.10561721211433114,0.004058925378218048,3,40.9828918,42.5,23.11203091
T231,2022-05-05,40,3,NA,14,NA,NA,NA,NA,2,39.03005,40.5,23.80055
